"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Billingsley #4","","","AZ00124","","AZ00124","JAMES I. THOMPSON","Private","Private","0","USDA NRCS","No","Other","Other","Arizona","","34.24472","-112.84722","Arizona","Yavapai","CONGRESS","","EAST FORK, MARTINEZ CREEK","Congressional District 02, Arizona","S11, T10N, R6W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","10","10","","10","Less than 25 feet","1850","31465","1957","1950-1959","","157","157","103","","6.6000000000000005","1650","Uncontrolled","190","0","0","","0","","Uncontrolled","2021-05-24","2010-02-12","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Soldier Annex Dam","","","AZ10132","","AZ10132","USDA FS","Federal","Federal","0","USDA, NATURAL RESOURCE CONSERVATION SERVICE","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond","Forest Service","030407 0405","34.78122945","-111.2282072","Arizona","Coconino","TWO GUNS","35","JACKS CANYON TRIBUTARY","Congressional District 02, Arizona","S18,16N,R11E","No","","","","","","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Rock;Soil","30","27","30","30","25-50 feet","1660","123852","1935","1930-1939","","1886","1886","1886","106","3","2700","Uncontrolled","130","","","","","","","2021-05-17","2017-08-01","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Green Road Basin","","","AZ00344","","AZ00344","PINAL COUNTY","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.8864","-112.05810000000001","Arizona","Pinal","NO DATA","0","UNKNOWN","Congressional District 07, Arizona","S20, T6S, R3E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","10.6","","","10.6","Less than 25 feet","6703","0","1995","1990-1999","","254","","254","36","","","Uncontrolled","27","0","0","","0","","","2021-04-02","2021-02-25","1","High","Unsatisfactory","2018-02-21","Yes","","https://damsafety.org/arizona","","",""
"Scarlett Lake","","","AZ00290","","AZ00290","BADGER CREEK CORPORATION","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.06944","-109.08333","Arizona","Apache","LYMAN STATE PARK","37","COYOTE CREEK","Congressional District 02, Arizona","S8, T8N, R31E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","8.5","8.5","","8.5","Less than 25 feet","1013","0","1950","1950-1959","","212","","212","74.7","","","Uncontrolled","49","0","0","","0","","","2021-04-02","2009-10-01","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Patterson","","","AZ00262","","AZ00262","ARIZONA STATE LAND DEPARTMENT;JMP RANCHES INC.","Private;State","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","34.23083","-109.71556","Arizona","Apache","WOODRUFF","35","MAIL STATION DRAW","Congressional District 02, Arizona","S16, T13N, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","16.5","16.5","","16.5","Less than 25 feet","2170","0","1944","1940-1949","","533.8","","533.8","97.05","","","Uncontrolled","119","0","0","","0","","","2021-04-02","2009-11-06","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Floyd Lamb Park North Enhancement Embankment Dam ","","","NV10935","","NV10935","CITY OF LAS VEGAS","Local Government","Local Government","","THE LOUIS BERGER GROUP","No","Flood Risk Reduction","Flood Risk Reduction;Fish and Wildlife Pond;Recreation","Nevada","J-632","36.322","-115.25580000000001","Nevada","Clark","NORTH LAS VEGAS","0","NONE","Congressional District 04, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","18","13","18","18","Less than 25 feet","3894","28000","","Undetermined","","454","454","400","55","5","45066","Uncontrolled","2222","","","","","","Other Controlled1","2023-05-25","2022-04-12","0","High","Fair","2022-04-12","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Tule Field Dam","Tule Field Reservoir","","NV00123","","NV00123","NEVADA DEPARTMENT OF WILDLIFE","State","State","0","NEVADA FISH & GAME COMMISSION;SUMMIT ENGINEERING","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Irrigation;Recreation","Nevada","J-391","38.30889","-115.19221999999999","Nevada","Nye","HIKO","55","WHITE RIVER","Congressional District 04, Nevada","207 N05 E60 12B","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","8","5","11","11","Less than 25 feet","720","3000","1930","1930-1939","1960H;1960S;1963S;1992H","507","507","210","80","990","8060","Uncontrolled","200","","","","","","Other Controlled1","2023-05-25","2021-04-27","5","Low","Fair","2021-04-27","Not Required","","https://damsafety.org/nevada","","",""
"28 Tank","","","AZ00247","","AZ00247","OSBORN - BLAIR INTER.","Private","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.36472","-113.03","Arizona","Yavapai","SUPAI VILLAGE","50","SPRING VALLEY WASH","Congressional District 02, Arizona","S28, T26N,R2E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","32.5","32.5","","32.5","25-50 feet","382","0","1909","1900-1909","","181.8","","181.8","16.78","","","Uncontrolled","64","0","0","","0","","","2021-04-02","2012-04-12","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Judia Foote Detention Dam","","","AZ00070","","AZ00070","BLM;SAN JOSE CANAL CO (GILA VALLEY IRRIGATION DISTRICT)","Federal","Federal","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.80511","-109.61361","Arizona","Graham","SOLOMON, AZ","0","JUDIA CANYON WASH","Congressional District 06, Arizona","S20, 0070S, 0270E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service;Natural Resources Conservation Service","","","No","","","","No","N/A","","","Earth","Unlisted/Unknown","29","19","29","29","25-50 feet","920","29589","1957","1950-1959","","159","151","159","20.900000000000002","4.6000000000000005","9300","","100","0","0","","0","","","2021-05-24","2011-09-07","1","Significant","Fair","","Yes","","https://damsafety.org/arizona","","",""
"Cholla Cooling Pond","","","AZ00180","","AZ00180","ARIZONA PUBLIC SERVICE COMPANY, PHOENIX OFFICE","Public Utility","Public Utility","0","","No","Other","Other","Arizona","","34.93","-110.29028","Arizona","Navajo","JOSEPH CITY","5","LITTLE COLORADO RIVER-OFFSTREAM - TR","Congressional District 02, Arizona","S26, T8N, R19E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","13","13","","13","Less than 25 feet","13580","95000","1961","1960-1969","","2200","","2200","380","","","Uncontrolled","30","0","0","","0","","","2021-04-02","2020-06-29","3","Significant","Satisfactory","2017-05-25","Yes","","https://damsafety.org/arizona","","",""
"Pioneer Detention Basin Dam","","","NV10575","","NV10575","CITY OF HENDERSON","Local Government","Local Government","0","PBS&J INC.","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-531","36.044200000000004","-115.0203","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E62 11DC","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","41","30","41","41","25-50 feet","365","516010","2002","Since 2000","","562","562","0","15.700000000000001","7","35150","Uncontrolled","364","","","","","","Uncontrolled2","2023-05-25","2023-05-02","1","High","Fair","2023-05-02","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Windmill Wash Detention Basin Dam","Bunkerville Flood Control Detention Basin","","NV10526","","NV10526","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-488","36.766439999999996","-114.12172","Nevada","Clark","BUNKERVILLE","1","VIRGIN RIVER-TR","Congressional District 04, Nevada","222 S13 E70 36BA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","55","46","64","64","51-100 feet","2040","300000","1999","1990-1999","","500","500","0","20","8.4","34900","Uncontrolled","400","","","","","","Uncontrolled1","2023-05-25","2022-02-22","1","High","Fair","2022-02-22","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Chuck Lenzie South Evaporation Pond Dam ","","Moapa Energy Facility South Evaporation Pond","NV10589","","NV10589","NV ENERGY","Public Utility","Public Utility","0","KLIENFELDER INC.","No","Other","Other","Nevada","J-542","36.387968","-114.923408","Nevada","Clark","NONE","0","UNNAMED WASH-TR","Congressional District 04, Nevada","215 S21 E63 15A","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Plastic","Soil","15.5","12.5","17.5","17.5","Less than 25 feet","2044","10000","","Undetermined","","58.1","58.1","49.2","3","0.1","0","None","0","","","","","","None0","2023-05-25","2019-04-23","5","Low","Fair","2019-04-23","Not Required","","https://damsafety.org/nevada","","",""
"Spring Mountain Ranch Dam","Lake Harriet","","NV10159","","NV10159","NEVADA DCNR PARKS","State","State","0","","No","Irrigation","Irrigation;Recreation;Water Supply","Nevada","J-144","36.068329999999996","-115.46111","Nevada","Clark","LAS VEGAS","5","BLUE DIAMOND WASH-TR","Congressional District 03, Nevada","212 S22 E58 03AB","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","19","18","0","19","Less than 25 feet","100","20000","1945","1940-1949","1978H;1978S","22","22","14","3.2","2.4","650","Uncontrolled","18.5","","","","","","Valve2","2023-05-25","2022-02-23","3","High","Poor","2022-02-23","Yes","2018-03-21","https://damsafety.org/nevada","","",""
"West Cataract Creek","","","AZ00038","","AZ00038","CITY OF WILLIAMS","Local Government","Local Government","0","","Yes","Recreation","Recreation;Water Supply","Arizona","","35.25222","-112.21472","Arizona","Coconino","WILLIAMS","2","WEST CATARACT CREEK","Congressional District 02, Arizona","S30, T22N, R2E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Unlisted/Unknown","36","36","","36","25-50 feet","580","0","1947","1940-1949","","860","860","415","46","6.2","4920","Uncontrolled","84","0","0","","0","","","2021-04-02","2018-10-18","3","Significant","Fair","2016-10-26","Yes","","https://damsafety.org/arizona","","",""
"Central Detention","","","AZ00065","","AZ00065","GRAHAM COUNTY;ROSS VIRGINIA CLARIDGE IN TRUST","Local Government;Private","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.768609999999995","-109.79972","Arizona","Graham","CENTRAL","","CENTRAL WASH","Congressional District 06, Arizona","S4, T7S, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","22","22","32.5","32.5","25-50 feet","1650","0","1948","1940-1949","","1190","1190","0","62","6.17","2100","Uncontrolled","50","0","0","","0","","Uncontrolled","2021-05-24","2020-10-15","1","High","Poor","2017-11-07","Yes","","https://damsafety.org/arizona","","",""
"Whitehorse Dam","","Whitehorse Lake","AZ82403","","AZ82403","USDA FS","Federal","Federal","0","R3, SOUTHWESTERN REGION","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Forest Service","030701 0701","35.1179","-112.01270000000001","Arizona","Coconino","CLARKDALE","35","TRIB.OF SYCAMORE CREEK","Congressional District 02, Arizona","S18,20N,R4E","No","","","","","","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Yes","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Rock","31","25","","31","25-50 feet","400","","1938","1930-1939","1990O","260","260","260","","3","1350","Uncontrolled","50","","","","","","","2021-05-17","2017-08-01","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Hiko Springs Detention Basin Dam","","","NV10447","","NV10447","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","CLARK COUNTY PUBLIC WORKS","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-426","35.155300000000004","-114.63170000000001","Nevada","Clark","LAUGHLIN","2","HIKO SPRINGS WASH","Congressional District 03, Nevada","213 S32 E66 16C","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","88","79","80","88","51-100 feet","2300","840000","1996","1990-1999","","2025","2025","0","41","19.2","39350","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2022-01-31","1","High","Fair","2022-01-31","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Town Wash Dam","Jim Wilson Detention Basin","","NV10160","","NV10160","CITY OF MESQUITE","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-367","36.825829999999996","-114.07333","Nevada","Clark","MESQUITE","1","TOWN WASH","Congressional District 04, Nevada","222 S13 E71 09BD","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Concrete","Concrete;Earth","Concrete","Rock","41","32","45","45","25-50 feet","900","0","1992","1990-1999","","485","485","0","10","0","0","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2022-02-22","1","High","Fair","2022-02-22","Yes","2017-03-01","https://damsafety.org/nevada","","",""
"Upper Duck Creek Interim Detention Basin Dam ","","Duck Creek Interim Upper Detention Basin","NV10606","","NV10606","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","TETRA TECH INC.","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-552","36.00815","-115.31332","Nevada","Clark","LAS VEGAS","0","DUCK CREEK-TR","Congressional District 03, Nevada","212 S22 E59 25","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","49","37","39","49","25-50 feet","4000","1467726","","Undetermined","","2582","2582","0","171","48.5","91987","Uncontrolled","960","","","","","","Uncontrolled1","2023-05-25","2022-02-23","1","High","Fair","2022-02-23","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Dad Patterson","","","AZ00253","","AZ00253","ARIZONA STATE LAND DEPARTMENT;JMP RANCHES INC.","Private;State","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Irrigation","Arizona","","34.5375","-109.70417","Arizona","Apache","CONCHO","0","MAIL STATION DRAW","Congressional District 02, Arizona","S9, T13N, R25E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","15","14.9","","15","Less than 25 feet","870","0","1944","1940-1949","","198.70000000000002","","198.70000000000002","40.1","","","None","0","0","0","","0","","","2021-04-02","2009-11-06","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Pittman Park Detention Basin Dam","","Pittman Railroad East Detention Basin","NV10530","","NV10530","CITY OF HENDERSON","Local Government","Local Government","0","MONTGOMERY WATSON","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-497","36.04667","-115.05389","Nevada","Clark","HENDERSON","0","LAS VEGAS WASH-TR","Congressional District 01, Nevada","212 S22 E62 09D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","11","6","14","14","Less than 25 feet","1400","29000","","Undetermined","","100","100","0","9.9","37.300000000000004","300","None","0","","","","","","Uncontrolled1","2023-05-25","2023-05-01","1","High","Fair","2023-05-01","Yes","2019-04-12","https://damsafety.org/nevada","","",""
"Nelson Tank","","","AZ00269","","AZ00269","ANN HATHAWAY;ARIZONA STATE LAND DEPARTMENT;DONALD L & JULIA D. CRESSMAN","Private;State","Private","0","","No","Other","Other;Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.485","-113.30944","Arizona","Yavapai","PEACH SPRINGS","9","NELSON CANYON","Congressional District 02, Arizona","S11, T24N, R10W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","19.6","19.6","","19.6","Less than 25 feet","404","0","","Undetermined","","99","","99","10.1","","","Uncontrolled","70","0","0","","0","","","2021-04-02","2020-05-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Railroad Embankment","","","AZ00133","","AZ00133","BURLINGTON NORTHERN SANTA FE","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","35.33028","-112.89611","Arizona","Yavapai","PAULDEN","34","BIG CHINO WASH","Congressional District 02, Arizona","S35, T23N, R6W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Other","Other","","Unlisted/Unknown","27","26","58","58","51-100 feet","500","0","1929","1920-1929","","1000","1000","840","98","130","2980","Uncontrolled","83","0","0","","0","","","2021-04-02","2018-06-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
